Company Name,Website,Industry,Product/Service Category,"Business Type (B2B, B2B2C)",Employees Count,Revenue,Year Founded,BBB Rating,Street,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source
Fleak,https://www.linkedin.com/company/fleak,"Fleak unblocks your data team from batch processing and outdated workflows with LLM integrations. Its API Builder allows Data Scientists, Data Analysts, and Software Engineers to effortlessly create complex operational workflows involving data transformations, model inferencing, embeddings, and microservices integration without the need for infrastructure setup. Fleak instantly generates http API endpoints for each workflow, ensuring auto-scalability and readiness for massive datasets. Supported by 24/7 monitoring, Fleak integrates seamlessly with AWS Lambda, Pinecone, and Snowflake, streamlining data operations and management costs.","APIs, Microservices, Serverless, Data Pipelines, LLMs, Streaming Data, Event Architecture, and Low-code",<function <lambda> at 0x7ea4e77326b0>,11,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,San Jose,US,+1-983-560-3375x30912,https://www.linkedin.com/company/fleak,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Balance,https://www.linkedin.com/company/balance-cash,"Balance is financial forecasting for the independent worker. The gigsters, the freelancers, the contractors, the artists, the creators, the odd-jobbers, the tip-hustlers, the side-hustlers, the nomads — the new working majority. Balance is for the individuals who dare to chart a livelihood on their terms. Follow us as we #buildinpublic. Sign up for the newsletter at www.balance.cash to stay in the loop.","Financial Forecasting, Money Management, Independent Workers, and Gig Workers",<function <lambda> at 0x7ea4e77326b0>,3,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Denver,CO,+1-983-560-3375x30912,https://www.linkedin.com/company/balance-cash,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
"ErgoTech Systems, Inc.",https://www.linkedin.com/company/ergotech-systems-inc-,"ErgoTech develops and sells factory automation, semiconductor and IOT solutions based around our MIStudio drag-and-drop application builder. MIStudio allows end users to build rich applications including connectivity to database, PLCs and many other devices. Applications can be deployed stand-alone (no server required) on Android devices as well as server based solution supporting all Mobile platforms with HTML5. MIStudio supports the widest range of servers from tiny embedded platforms, including the Raspberry PI and other Linux/IOT platform to redundant/fail-over solutions on enterprise servers. ErgoTech's TransSECS provides a world-leading SECS/GEM solution for the semiconductor industry either integrated with MIStudio or stand-alone. ErgoTech is a small, technically focused company.",Industrial Automation and Semiconductor,<function <lambda> at 0x7ea4e77326b0>,4,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,190 Central Park Square,Lo,+1-983-560-3375x30912,https://www.linkedin.com/company/ergotech-systems-inc-,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
"ClubReady, LLC",https://www.linkedin.com/company/clubready,"ClubReady is a web-based fitness management platform that is branded for your fitness business. From lead management and member retention to customer engagement and automation, ClubReady gives you everything you need to run your fitness business your way. Streamline every service your business offers with ClubReady. Use our easy-to-navigate system to let you and your employees seamlessly manage your business anytime, anywhere.","Member Management, Billing, HealthClub Management, Personal Training Management, Prospect Management, and Nutrition and Wellness",<function <lambda> at 0x7ea4e77326b0>,109,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,14515 North Outer Forty,Su,+1-983-560-3375x30912,https://www.linkedin.com/company/clubready,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Electronic Warfare Associates (EWA),https://www.linkedin.com/company/ewa,"EWA is a veteran-owned, small broad-based technology business providing professional services and specialized products to its customers. EWA prides itself on overcoming technological challenges and delivering on-time products for its customers. For over 40 years, EWA has been specializing in a broad array of EW products and services, including analysis, simulation and training, RF threat simulators and custom instrumentation for laboratories and OARs, signal analysis software, and embedded training hardware and software. We also provide engineering products and services in cyber defense, intelligence, security, training, tactical mission planning, information operations, wireless applications, range instrumentation, spectrum, radar development, force protection and counter-UASs.","Counter-UAS Technologies, Cyber Operations and Dark Web, Digital Signal Processing, EW Engineering, EW Training (Live, Virtual, and Constructive), EW Weapon Systems Simulators, Field Engineering and Data Collection, Foreign Materiel Exploitation and Acquisition, Instrumentation and Range Support, Labs and Open Air Range Development, Radar Design, Development and Upgrades, Radar Integration and Test, Radar Simulators and Radar Threat Simulators, Threat Development & Assessment, Training Systems Design and Development, Systems Engineering and Integration, Tagging, Tracking, Sensors and Systems Integration, Test and Evaluation, and Wireless Applications",<function <lambda> at 0x7ea4e77326b0>,315,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,13873 Park Center Rd,5t,+1-983-560-3375x30912,https://www.linkedin.com/company/ewa,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
HumanSignal,https://www.linkedin.com/company/humansignal,"HumanSignal (formerly known as Heartex) enables data science teams to build AI models with their company DNA. With the emergence of generative AI, it’s more important than ever to build highly differentiated models by guiding foundation models with proprietary data and human feedback. Creators of Label Studio, the most popular open source data labeling platform, HumanSignal enables data scientists to develop high quality datasets and workflows for model training, fine tuning and continuous validation. Today, the Label Studio open source community has more than 250,000 users who have collectively annotated more than 100 million pieces of data. Label Studio Enterprise is available as a cloud service with enhanced security, automation, quality review workflows, and performance reporting, used by leading data science teams including Bombora, Geberit, Outreach, Wyze, and Zendesk.","MachineLearning, DeepLearning, AI, DataLabeling, DataScience, and GenerativeAI",<function <lambda> at 0x7ea4e77326b0>,44,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,San Francisco,Ca,+1-983-560-3375x30912,https://www.linkedin.com/company/humansignal,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Prosperous AI,https://www.linkedin.com/company/prosperous-ai,Prosperous AI can save you up to 30% on your materials supply chain cost by using advanced technology to audit your supply chain efficiency and productivity. Cost savings in calculated response Time savings in faster completion of projects Harmonization of communication across your workforce Our unique framework will produce an automated analysis of your spending to drive meaningful data-driven decisions without uprooting your teams for contract negotiation.,"Data, Machine Learning, AI Development, API, Analytics, data analysis, Clean Data, knowledge economy, Data scrubbing, Sourcing, Strategy, Automation, and Procurement",<function <lambda> at 0x7ea4e77326b0>,6,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Denver,CO,+1-983-560-3375x30912,https://www.linkedin.com/company/prosperous-ai,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Expert Institute,https://www.linkedin.com/company/expert-institute,"Since its inception in 2010, Expert Institute has emerged as a pioneer in legal technology, offering unparalleled access to world-class experts, a wealth of legal data, and cutting-edge opposition research. Their innovative cloud-based platform, Expert iQ, provides sophisticated case management solutions tailored to the modern legal landscape. Having partnered with over 5,000 firms nationwide, Expert Institute stands out for its dynamic blend of expert research capabilities, medical insight, dedicated client service, and advanced technological solutions. This unique combination positions them as a transformative force in legal tech, redefining how legal professionals approach case preparation and strategy.","Litigation Support, Expert Referral, Legal Technology, and Legal Software",<function <lambda> at 0x7ea4e77326b0>,322,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,48 Wall Street,Fl,+1-983-560-3375x30912,https://www.linkedin.com/company/expert-institute,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Earnest Agriculture,https://www.linkedin.com/company/growearnest,"At Earnest, we partner with farmers to turn their waste into sustainable soil products that help you, your plants, and the environment grow healthier and stronger.","agriculture, fertilizer, bioreactor, global warming, microbials, garden, manufacturing, composting, and earthworm castings",<function <lambda> at 0x7ea4e77326b0>,8,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Champaign,IL,+1-983-560-3375x30912,https://www.linkedin.com/company/growearnest,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Transpera Technologies Inc.,https://www.linkedin.com/company/transpera,"Transpera is a technology company offering services across Canada in information technology, support services, managed IT infrastructure, and web/app development.","Information Technology, Website Development, App Development, and IT Services",<function <lambda> at 0x7ea4e77326b0>,9,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,7710 5 St SE,Su,+1-983-560-3375x30912,https://www.linkedin.com/company/transpera,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
